name,type,episodes,rating,members
Girls und Panzer der Film,Movie,1,8.55,25641
Mob Psycho 100,TV,12,8.55,193716
Nana,TV,47,8.55,197256
Baccano!,TV,13,8.54,363215
Mushishi Zoku Shou: Odoro no Michi,Special,1,8.54,34011
Shingeki no Kyojin,TV,25,8.54,896229
Bakuman. 2nd Season,TV,25,8.53,151561
Cross Game,TV,50,8.53,53108
Doukyuusei (Movie),Movie,1,8.53,28864
Evangelion: 2.0 You Can (Not) Advance,Movie,1,8.53,182224
Shinsekai yori,TV,25,8.53,288376
Uchuu Senkan Yamato 2199,OVA,26,8.53,44223
Chihayafuru 2,TV,25,8.52,86074
Fate/Zero,TV,13,8.51,453630
JoJo no Kimyou na Bouken (TV),TV,26,8.51,190197
Mahou Shoujo Madoka?Magica,TV,12,8.51,462974
Nichijou,TV,26,8.52,254436
Psycho-Pass,TV,22,8.50,509109
Barakamon,TV,12,8.50,225927
Diamond no Ace: Second Season,TV,51,8.50,38531
Magi: The Kingdom of Magic,TV,25,8.50,245026
Mahou Shoujo Madoka?Magica Movie 3: Hangyaku no Monogatari,Movie,1,8.50,135735
Major: World Series,OVA,2,8.50,13405
Samurai Champloo,TV,26,8.50,390076
Shokugeki no Souma: Ni no Sara,TV,13,8.50,185015
Katanagatari,TV,12,8.49,207241
Mahou Shoujo Madoka?Magica Movie 2: Eien no Monogatari,Movie,1,8.49,85361
Major S6,TV,25,8.49,24788
Mononoke,TV,12,8.49,88850
Shirobako,TV,24,8.49,146895
Ashita no Joe 2,TV,47,8.48,6259
Hunter x Hunter,TV,62,8.48,166255
Noragami Aragoto,TV,13,8.48,299434
Sakamichi no Apollon,TV,12,8.48,146592
Tonari no Totoro,Movie,1,8.48,271484
Ghost in the Shell: Stand Alone Complex,TV,26,8.47,194491
Kaze no Tani no Nausicaa,Movie,1,8.47,143273
No Game No Life,TV,12,8.47,602291
Romeo no Aoi Sora,TV,33,8.47,15074
Yuu?Yuu?Hakusho,TV,112,8.47,195017
Kino no Tabi: The Beautiful World,TV,13,8.46,102822
Kuroko no Basket,TV,25,8.46,338315
Nodame Cantabile,TV,23,8.46,157025
Ookami to Koushinryou II,TV,12,8.46,210491
Shingeki no Kyojin: Kuinaki Sentaku,OVA,2,8.45,92543
Fate/stay night: Unlimited Blade Works 2nd Season,TV,13,8.45,205987
Kemono no Souja Erin,TV,50,8.45,36751
Kizumonogatari I: Tekketsu-hen,Movie,1,8.45,99579
Neon Genesis Evangelion: The End of Evangelion,Movie,1,8.45,215630
Toradora!,TV,25,8.45,633817
Toki wo Kakeru Shoujo,Movie,1,8.44,289206
Tsubasa: Tokyo Revelations,OVA,3,8.44,57963
Owarimonogatari,TV,12,8.43,107855
Rurouni Kenshin: Meiji Kenkaku Romantan,TV,94,8.43,218928
Stranger: Mukou Hadan,Movie,1,8.43,125503
Detective Conan Movie 06: The Phantom of Baker Street,Movie,1,8.42,28462
Fate/stay night: Unlimited Blade Works,TV,12,8.42,267484
Major S1,TV,26,8.42,41061
Mobile Suit Gundam: The Origin,OVA,6,8.42,15420
Nanatsu no Taizai,TV,24,8.42,331627
Natsume Yuujinchou,TV,13,8.42,210736
One Piece Film: Strong World,Movie,1,8.42,85020
Higurashi no Naku Koro ni Kai,TV,24,8.41,218101
Hunter x Hunter OVA,OVA,8,8.41,53168
Hunter x Hunter: Greed Island Final,OVA,14,8.41,55787
Kuroshitsuji: Book of Murder,OVA,2,8.41,67261
Major S2,TV,26,8.41,30689
One Outs,TV,25,8.41,83056
Beck,TV,26,8.40,148328
Berserk,TV,25,8.40,226430
Cowboy Bebop: Tengoku no Tobira,Movie,1,8.40,137636
Major S3,TV,26,8.40,29528
Mobile Suit Gundam Unicorn,OVA,7,8.40,42076
Natsume Yuujinchou: Itsuka Yuki no Hi ni,OVA,1,8.40,28302
NHK ni Youkoso!,TV,24,8.40,291228
Rose of Versailles,TV,40,8.40,32188
Sakurasou no Pet na Kanojo,TV,24,8.40,380375
Angel Beats!,TV,13,8.39,717796
Bakemonogatari,TV,15,8.39,482268
Bungou Stray Dogs 2nd Season,TV,12,8.39,83641
Hajime no Ippo: Champion Road,Special,1,8.39,47840
One Piece Film: Z,Movie,1,8.39,76051
Ouran Koukou Host Club,TV,26,8.39,422271
Detective Conan Movie 13: The Raven Chaser,Movie,1,8.38,21798
Durarara!!,TV,24,8.38,556431
Nodame Cantabile Finale,TV,11,8.38,67697
Planetes,TV,26,8.38,105044
Shelter,Music,1,8.38,71136
Tenkuu no Shiro Laputa,Movie,1,8.38,151061
Gintama: Shiroyasha Koutan,Special,1,8.37,27213
Hachimitsu to Clover II,TV,12,8.37,61493
InuYasha: Kanketsu-hen,TV,26,8.37,99128
Kaguya-hime no Monogatari,Movie,1,8.37,45547
Katekyo Hitman Reborn!,TV,203,8.37,258103
Kuroshitsuji: Book of Circus,TV,10,8.37,122895
Ookami to Koushinryou,TV,13,8.37,334932
Boku no Hero Academia,TV,13,8.36,282002
Gin no Saji 2nd Season,TV,11,8.36,67032
Little Busters!: Refrain,TV,13,8.36,71820
Major: Message,OVA,1,8.36,12282
Saint Seiya: The Lost Canvas - Meiou Shinwa 2,OVA,13,8.36,27532
SKET Dance,TV,77,8.36,101027
Bakuman.,TV,25,8.35,246899
Danshi Koukousei no Nichijou,TV,12,8.35,258914
Kotonoha no Niwa,Movie,1,8.35,189741
Major S4,TV,26,8.35,28002
Omoide no Marnie,Movie,1,8.35,53590
Working!!!: Lord of the Takanashi,Special,1,8.34,31856
Ghost in the Shell,Movie,1,8.34,223036
K-On! Movie,Movie,1,8.34,115252
Kuroko no Basket: Saikou no Present Desu,Special,1,8.34,22900
Sennen Joyuu,Movie,1,8.34,58492
xxxHOLiC Kei,TV,13,8.34,74941
Berserk: Ougon Jidai-hen III - Kourin,Movie,1,8.33,65594
Death Parade,TV,12,8.33,383914
Fullmetal Alchemist,TV,51,8.33,600384
Gyakkyou Burai Kaiji: Ultimate Survivor,TV,26,8.33,98996
Hunter x Hunter: Greed Island,OVA,8,8.33,57029
Redline,Movie,1,8.33,109392
Chihayafuru,TV,25,8.32,158561
Detective Conan Movie 20: The Darkest Nightmare,Movie,1,8.32,6229
Dragon Ball Z,TV,291,8.32,375662
Fate/stay night: Unlimited Blade Works - Prologue,Special,1,8.32,106382
Kokoro ga Sakebitagatterunda.,Movie,1,8.32,59652
Mimi wo Sumaseba,Movie,1,8.32,94435
Nagi no Asukara,TV,26,8.32,224947
Neon Genesis Evangelion,TV,26,8.32,461946
One Piece Film: Gold,Movie,1,8.32,18642
Tokyo Godfathers,Movie,1,8.32,89424
Trigun,TV,26,8.32,283069
xxxHOLiC Rou,OVA,2,8.32,36353
Gintama: Shinyaku Benizakura-hen,Special,1,8.31,14002
Mahou Shoujo Madoka?Magica Movie 1: Hajimari no Monogatari,Movie,1,8.31,88164
Sekaiichi Hatsukoi 2,TV,12,8.31,69253
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,TV,13,8.31,222994
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku OVA,OVA,1,8.31,35120
Aria The Natural,TV,26,8.30,39596
Black Lagoon: The Second Barrage,TV,12,8.30,203233
Clannad,TV,23,8.30,566690
Kami nomi zo Shiru Sekai: Megami-hen,TV,12,8.30,142612
Summer Wars,Movie,1,8.30,223359
Baccano! Specials,Special,3,8.29,100412
Detective Conan Movie 14: The Lost Ship in the Sky,Movie,1,8.29,20602
Gyakkyou Burai Kaiji: Hakairoku-hen,TV,26,8.29,55566
Initial D Final Stage,TV,4,8.29,19702
Kaiba,TV,12,8.29,56927
One Piece: Episode of Merry - Mou Hitori no Nakama no Monogatari,Special,1,8.29,17247
Saiki Kusuo no ?-nan (TV),TV,120,8.29,47092
Cardcaptor Sakura Movie 2: Fuuin Sareta Card,Movie,1,8.28,60637
Hajime no Ippo: Mashiba vs. Kimura,OVA,1,8.28,40623
Kamisama Hajimemashita?,TV,12,8.28,91796
Skip Beat!,TV,25,8.28,134818
Yowamushi Pedal: Grande Road,TV,24,8.28,50778
Gankutsuou,TV,24,8.27,103828
Majo no Takkyuubin,Movie,1,8.27,152331
Nodame Cantabile: Paris-hen,TV,11,8.27,70822
One Piece: Episode of Nami - Koukaishi no Namida to Nakama no Kizuna,Special,1,8.27,24707
Osomatsu-san,TV,25,8.27,60988
Space?Dandy 2nd Season,TV,13,8.27,60918
Tsumiki no Ie,Movie,1,8.27,45189
Detroit Metal City,OVA,12,8.26,104893
Eve no Jikan,ONA,6,8.26,99074
Eve no Jikan (Movie),Movie,1,8.26,66376
Kaichou wa Maid-sama!,TV,26,8.26,391628
Saint Seiya: Meiou Hades Juuni Kyuu-hen,OVA,13,8.26,23701
Zankyou no Terror,TV,11,8.26,342893
Darker than Black: Kuro no Keiyakusha,TV,25,8.25,440334
Detective Conan Movie 05: Countdown to Heaven,Movie,1,8.25,25432
Diamond no Ace,TV,75,8.25,81384
Fairy Tail (2014),TV,102,8.25,255076
Hibike! Euphonium 2,TV,13,8.25,47716
JoJo no Kimyou na Bouken: Stardust Crusaders,TV,24,8.25,120089
Maison Ikkoku,TV,96,8.25,22079
Non Non Biyori Repeat,TV,12,8.26,64230
Shijou Saikyou no Deshi Kenichi,TV,50,8.25,129112
Yuusha-Ou GaoGaiGar Final,OVA,8,8.25,5001
Gekkan Shoujo Nozaki-kun,TV,12,8.24,292622
Initial D Fourth Stage,TV,24,8.24,41584
Junjou Romantica 2,TV,12,8.24,87617
Kaze Tachinu,Movie,1,8.24,75359
Kingdom,TV,38,8.24,54211
Kuragehime,TV,11,8.24,108053
Magi: The Labyrinth of Magic,TV,25,8.24,317513
Mobile Suit Gundam 00,TV,25,8.24,120351
ReLIFE,TV,13,8.24,202249
Saint Seiya: The Lost Canvas - Meiou Shinwa,OVA,13,8.24,40355
Seirei no Moribito,TV,26,8.24,106888
Akatsuki no Yona,TV,24,8.23,216674
Detective Conan Movie 08: Magician of the Silver Sky,Movie,1,8.23,23130
Durarara!!x2 Ketsu,TV,12,8.23,115295
Free!: Eternal Summer Special,Special,1,8.23,36091
Glass no Kamen (2005),TV,51,8.23,17038
Gosick,TV,24,8.23,232113
Hajime no Ippo: Boxer no Kobushi,Special,1,8.23,20157
Initial D First Stage,TV,26,8.23,68128
Kill la Kill,TV,24,8.23,508118
Lovely?Complex,TV,24,8.23,235003
Perfect Blue,Movie,1,8.23,117565
Princess Tutu,TV,38,8.23,73218
Sakasama no Patema,Movie,1,8.23,89749
Tsubasa: Shunraiki,OVA,2,8.23,40420
Ashita no Joe,TV,79,8.22,15442
Fairy Tail,TV,175,8.22,584590
Ghost in the Shell: Stand Alone Complex - Solid State Society,Special,1,8.22,55247
Magi: Sinbad no Bouken (TV),TV,13,8.22,73480
Shoujo Kakumei Utena,TV,39,8.22,77464
Tengen Toppa Gurren Lagann Movie: Gurren-hen,Movie,1,8.22,72933
Detective Conan Movie 10: Requiem of the Detectives,Movie,1,8.21,21789
Evangelion: 1.0 You Are (Not) Alone,Movie,1,8.21,194561
Full Metal Panic? Fumoffu,TV,12,8.21,171086
Ginga Eiyuu Densetsu: Arata Naru Tatakai no Overture,Movie,1,8.21,11808
Kara no Kyoukai 3: Tsuukaku Zanryuu,Movie,1,8.21,108720
Mobile Suit Gundam 00 Second Season,TV,25,8.21,86972
Nisemonogatari,TV,11,8.21,260062
Tsukimonogatari,TV,4,8.21,111009
Ansatsu Kyoushitsu (TV),TV,22,8.20,312654
Aria The Avvenire,Special,3,8.20,9500
Baby Steps 2nd Season,TV,25,8.20,36251
D.Gray-man,TV,103,8.20,334399
"Ginga Eiyuu Densetsu Gaiden: Senoku no Hoshi, Senoku no Hikari",OVA,24,8.20,8621
Gintama: Jump Festa 2014 Special,Special,1,8.20,13764
Lupin III: Cagliostro no Shiro,Movie,1,8.20,32732
Mobile Suit Gundam: Iron-Blooded Orphans 2nd Season,TV,25,8.20,21210
Ookiku Furikabutte: Natsu no Taikai-hen,TV,13,8.20,22190
Saiunkoku Monogatari 2nd Season,TV,39,8.20,23160
Sekaiichi Hatsukoi Movie: Yokozawa Takafumi no Baai,Movie,1,8.20,23045
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai. Movie,Movie,1,8.19,95241
Dennou Coil,TV,26,8.19,76860
Eureka Seven,TV,50,8.19,239570
Ghost in the Shell: Stand Alone Complex - The Laughing Man,Special,1,8.19,21435
Gintama: Dai Hanseikai,Special,1,8.19,14728
Hidamari Sketch: Sae Hiro Sotsugyou-hen,OVA,2,8.19,5959
Hikaru no Go,TV,75,8.19,69000
Kimi ni Todoke,TV,25,8.19,309339
Kokoro Connect: Michi Random,Special,4,8.19,106989
Tokyo Magnitude 8.0,TV,11,8.19,121349
Cardcaptor Sakura,TV,70,8.18,181249
ef: A Tale of Melodies.,TV,12,8.18,103657
Gin no Saji,TV,11,8.18,116261
Hachimitsu to Clover,TV,24,8.18,130646
Kodomo no Omocha (TV),TV,102,8.18,27893
Love Live! The School Idol Movie,Movie,1,8.18,38118
Mahoutsukai no Yome: Hoshi Matsu Hito,OVA,3,8.18,43372
Sekaiichi Hatsukoi OVA,OVA,2,8.18,35225
Working!!!,TV,13,8.18,80763
Black Lagoon,TV,12,8.17,332562
Detective Conan Movie 18: The Sniper from Another Dimension,Movie,1,8.17,12151
Final Fantasy VII: Advent Children Complete,OVA,1,8.17,77111
Higurashi no Naku Koro ni,TV,26,8.17,359494
Hyouka,TV,22,8.17,372246
Interstella5555: The 5tory of The 5ecret 5tar 5ystem,Music,1,8.17,31464
Kanon (2006),TV,24,8.17,163171
Kimi ni Todoke 2nd Season,TV,12,8.17,171866
Noragami,TV,12,8.17,515378
Persona 3 the Movie 4: Winter of Rebirth,Movie,1,8.17,13359
xxxHOLiC Shunmuki,OVA,2,8.17,40401
Zetsuen no Tempest,TV,24,8.17,259900
Aria The Origination: Sono Choppiri Himitsu no Basho ni...,Special,1,8.16,11961
Detective Conan Movie 03: The Last Wizard of the Century,Movie,1,8.16,26799
Detective Conan Movie 04: Captured in Her Eyes,Movie,1,8.16,25461
Dragon Ball,TV,153,8.16,316102
Hanada Shounen-shi,TV,25,8.16,6321
Junjou Romantica 3,TV,12,8.16,39866
Juuni Kokuki,TV,45,8.16,66646
Major Movie: Yuujou no Winning Shot,Movie,1,8.16,9943
Mirai Shounen Conan,TV,26,8.16,15557
One Piece Film: Strong World Episode 0,OVA,1,8.16,33862
Phantom: Requiem for the Phantom,TV,26,8.16,159105
Tamako Love Story,Movie,1,8.16,72708
Toaru Kagaku no Railgun S,TV,24,8.16,137105
Touch,TV,101,8.16,12833
Yowamushi Pedal,TV,38,8.16,91138
Akira,Movie,1,8.15,215897
Durarara!!x2 Shou,TV,12,8.15,189407
Gintama: Jump Festa 2015 Special,Special,1,8.15,7923
High?Speed!: Free! Starting Days,Movie,1,8.15,24310
Kyou kara Ore wa!!,OVA,10,8.15,7954
Nurarihyon no Mago: Sennen Makyou,TV,24,8.15,75612
Paprika,Movie,1,8.15,163308
Prince of Tennis: The National Tournament Finals,OVA,7,8.15,21020
School Rumble Ni Gakki,TV,26,8.15,93095
Sekaiichi Hatsukoi,TV,12,8.15,94820
Akagami no Shirayuki-hime 2nd Season,TV,12,8.14,80862
"Clannad: Mou Hitotsu no Sekai, Tomoyo-hen",Special,1,8.14,160423
Ginga Nagareboshi Gin,TV,21,8.14,10575
Initial D Fifth Stage,TV,14,8.14,26711
K-On!!,TV,26,8.14,246276
Log Horizon,TV,25,8.14,387100
Sekaiichi Hatsukoi: Valentine-hen,Movie,1,8.14,13454
Slayers Next,TV,26,8.14,39832
Aria The OVA: Arietta,OVA,1,8.13,20629
Detective Conan Movie 15: Quarter of Silence,Movie,1,8.13,17165
Digimon Adventure tri. 3: Kokuhaku,Movie,1,8.13,20989
Gintama: Nanigoto mo Saiyo ga Kanjin nano de Tasho Senobisuru Kurai ga Choudoyoi,Special,1,8.13,29331
Igano Kabamaru,TV,24,8.13,5063
Kamisama Hajimemashita,TV,13,8.13,189641
Kara no Kyoukai: Mirai Fukuin,Movie,1,8.13,41168
Mobile Suit Gundam: The 08th MS Team,OVA,12,8.13,34177
Omae Umasou da na,Movie,1,8.13,6645
Ushio to Tora (TV) 2nd Season,TV,13,8.13,43916
Ajin 2nd Season,TV,13,8.12,51382
Aoki Hagane no Arpeggio: Ars Nova Cadenza,Movie,1,8.12,12353
City Hunter 2,TV,63,8.12,8199
Durarara!!x2 Ten,TV,12,8.12,132506
ef: A Tale of Memories.,TV,12,8.12,151106
Ghost in the Shell 2.0,Movie,1,8.12,51789
Ghost in the Shell: Stand Alone Complex 2nd GIG - Individual Eleven,Special,1,8.12,16614
Ginga Sengoku Gunyuuden Rai,TV,52,8.12,5308
Initial D Second Stage,TV,13,8.12,45825
Kami nomi zo Shiru Sekai II,TV,12,8.12,194300
Noragami Aragoto OVA,OVA,2,8.12,58075
Stand By Me Doraemon,Movie,1,8.12,5712
Yahari Ore no Seishun Love Comedy wa Machigatteiru.,TV,13,8.12,353876
Fullmetal Alchemist: Brotherhood Specials,Special,4,8.11,67962
Hanamonogatari,TV,5,8.11,124886
Kimi to Boku. 2,TV,13,8.11,44564
Ookiku Furikabutte,TV,25,8.11,49599
Ore Monogatari!!,TV,24,8.11,200833
Tamayura: Sotsugyou Shashin Part 4 - Ashita,Movie,1,8.10,3187
Tekkon Kinkreet,Movie,1,8.11,46018
There She Is!!,ONA,5,8.11,13935
xxxHOLiC,TV,24,8.11,150872
Byousoku 5 Centimeter,Movie,3,8.10,324035
Danganronpa 3: The End of Kibougamine Gakuen - Kibou-hen,Special,1,8.10,29969
Ginga Eiyuu Densetsu Gaiden: Rasen Meikyuu,OVA,28,8.10,7712
Hyouge Mono,TV,39,8.10,10649
Karigurashi no Arrietty,Movie,1,8.10,97910
Rurouni Kenshin: Meiji Kenkaku Romantan - Seisou-hen,OVA,2,8.10,49454
Tanaka-kun wa Itsumo Kedaruge,TV,12,8.10,101335
Berserk: Ougon Jidai-hen II - Doldrey Kouryaku,Movie,1,8.09,66721
Darker than Black: Kuro no Keiyakusha Gaiden,Special,4,8.09,136135
Elsword: El Lady,ONA,12,8.11,3846
Ginga Eiyuu Densetsu: Waga Yuku wa Hoshi no Taikai,Movie,1,8.09,15069
Hikaru no Go: Journey to the North Star Cup,Special,1,8.09,13901
Hybrid Child,OVA,4,8.09,26036
Isekai no Seikishi Monogatari,OVA,13,8.09,72021
Junjou Romantica OVA,OVA,2,8.09,23192
Kobato.,TV,24,8.09,88986
Kuuchuu Buranko,TV,11,8.09,41521
Macross: Do You Remember Love?,Movie,1,8.09,19240
One Piece 3D2Y: Ace no shi wo Koete! Luffy Nakama Tono Chikai,Special,1,8.09,30516
Prince of Tennis: The National Tournament,OVA,13,8.09,25170
Prince of Tennis: The National Tournament Semifinals,OVA,6,8.09,21186
Eyeshield 21,TV,145,8.08,83648
Full Moon wo Sagashite,TV,52,8.08,59374
Grisaia no Rakuen,TV,10,8.08,111962
Jigoku Shoujo Futakomori,TV,26,8.08,79816
Junjou Romantica,TV,12,8.08,117910
Mawaru Penguindrum,TV,24,8.08,156689
SKET Dance OVA,OVA,1,8.08,11342
Soul Eater,TV,51,8.08,580184
Trigun: Badlands Rumble,Movie,1,8.08,68181
Haibane Renmei,TV,13,8.07,120731
Kuroko no Basket: Tip Off,Special,1,8.07,41760
Macross,TV,36,8.07,44157
Mirai Nikki (TV),TV,26,8.07,657190
Saiyuuki Reload: Burial,OVA,3,8.07,6554
Tentai Senshi Sunred 2nd Season,TV,26,8.07,4584
Terra e... (TV),TV,24,8.07,36941
Tokyo Ghoul,TV,12,8.07,618056
Usagi Drop Specials,Special,4,8.07,36351
Yume-iro Patissiere,TV,50,8.07,36921
Azumanga Daioh,TV,26,8.06,170901
Colorful (Movie),Movie,1,8.06,63263
Detective Conan OVA 09: The Stranger in 10 Years...,OVA,1,8.06,9649
Drifters: Special Edition,OVA,1,8.06,9807
FLCL,OVA,6,8.06,305165
Full Metal Panic! The Second Raid,TV,13,8.06,155340
Kuroshitsuji,TV,24,8.06,424919
Love Live! School Idol Project 2nd Season,TV,13,8.06,91864
Macross F Movie 2: Sayonara no Tsubasa,Movie,1,8.06,17826
Magi: Sinbad no Bouken,OVA,5,8.06,52351
Nekomonogatari: Kuro,TV,4,8.06,173264
Saiunkoku Monogatari,TV,39,8.06,50951
School Rumble,TV,26,8.06,178553
Strike the Blood II,OVA,8,8.05,28220
Suzumiya Haruhi no Yuuutsu,TV,14,8.06,428569
Flanders no Inu (Movie),Movie,1,8.05,8505
Golden Boy,OVA,6,8.05,113040
Grisaia no Meikyuu: Caprice no Mayu 0,Special,1,8.05,70039
Kaleido Star,TV,51,8.05,42253
Kara no Kyoukai 4: Garan no Dou,Movie,1,8.05,103600
Lupin III vs. Detective Conan: The Movie,Movie,1,8.05,10021
Non Non Biyori,TV,12,8.05,133475
Seitokai Yakuindomo* OVA,OVA,6,8.05,26361
Yakitate!! Japan,TV,69,8.05,50876
Beelzebub,TV,60,8.04,217752
Death Billiards,Movie,1,8.04,95690
Durarara!! Specials,Special,2,8.04,103105
Jormungand: Perfect Order,TV,12,8.04,81951
Mahou Shoujo Lyrical Nanoha: The Movie 1st,Movie,1,8.04,20433
Overlord,TV,13,8.04,244268
Prince of Tennis,TV,178,8.04,87643
Takarajima,TV,26,8.04,5306
xxxHOLiC Movie: Manatsu no Yoru no Yume,Movie,1,8.04,41547
Yuru Yuri San?Hai!,TV,12,8.04,44335
Boruto: Naruto the Movie,Movie,1,8.03,74690
Coquelicot-zaka kara,Movie,1,8.03,50689
Eikoku Koi Monogatari Emma: Molders-hen,TV,12,8.03,11903
Ergo Proxy,TV,23,8.03,265005
Hanasaku Iroha,TV,26,8.03,150393
Hataraku Maou-sama!,TV,13,8.03,409037
Hibike! Euphonium,TV,13,8.03,134694
Higashi no Eden,TV,11,8.03,276593
Ie Naki Ko Remi,TV,23,8.03,6528
Kono Subarashii Sekai ni Shukufuku wo!,TV,10,8.03,244877
Kurenai no Buta,Movie,1,8.03,74028
Mobile Suit Zeta Gundam,TV,50,8.03,28959
Prison School,TV,12,8.03,227734
Saint Seiya,TV,114,8.03,70559
Sayonara Zetsubou Sensei,TV,12,8.03,174531
Seto no Hanayome OVA,OVA,2,8.03,31973
Zoku Sayonara Zetsubou Sensei,TV,13,8.03,74040
Akachan to Boku,TV,35,8.02,8353
"Clannad: After Story - Mou Hitotsu no Sekai, Kyou-hen",Special,1,8.02,138364
Hakuouki Movie 2: Shikon Soukyuu,Movie,1,8.03,9492
Kara no Kyoukai 2: Satsujin Kousatsu (Zen),Movie,1,8.02,114415
Macross F,TV,25,8.02,95551
Magic Kaito,Special,12,8.02,27274
Sakigake!! Cromartie Koukou,TV,26,8.02,67254
Shijou Saikyou no Deshi Kenichi OVA,OVA,11,8.02,24167
Touhai Densetsu Akagi: Yami ni Maiorita Tensai,TV,26,8.02,48127
Carnival Phantasm,OVA,12,8.01,71976
D.Gray-man Hallow,TV,13,8.01,72499
Date A Live: Encore OVA,OVA,1,8.01,48432
Dragon Ball Kai (2014),TV,61,8.01,42666
Gochuumon wa Usagi Desu ka??,TV,12,8.01,38102
Hidamari Sketch x ???,TV,12,8.01,15748
Kokoro Connect,TV,13,8.01,283847
Saiyuuki Gaiden,OVA,3,8.01,5843
Shirokuma Cafe,TV,50,8.01,44668
Zan Sayonara Zetsubou Sensei,TV,13,8.01,55402
